,loc_Name,loc_address,Singer_Name,Event_Time,Ticket Price,Ticket Link
0,Placeholder Location Name,Placeholder Location Address,Lydia Loveless,Wed Jan 31,,https://www.axs.com/events/501899/lydia-loveless-tickets?skin=stateroom
1,Placeholder Location Name,Placeholder Location Address,Steve Poltz,Fri Feb 2,,https://www.axs.com/events/512729/steve-poltz-tickets
2,Placeholder Location Name,Placeholder Location Address,Slothrust,Sat Feb 3,,https://www.axs.com/events/501919/slothrust-tickets?skin=stateroom
3,Placeholder Location Name,Placeholder Location Address,Wildflowers,Fri Feb 9,,https://www.axs.com/events/522007/wildflowers-tickets
4,Placeholder Location Name,Placeholder Location Address,John Craigie (Night 1),Fri Feb 16,,https://www.axs.com/events/502068/john-craigie-tickets?skin=stateroom
5,Placeholder Location Name,Placeholder Location Address,John Craigie (Night 2),Sat Feb 17,,https://www.axs.com/events/502073/john-craigie-tickets?skin=stateroom
6,Placeholder Location Name,Placeholder Location Address,John Craigie (Night 3),Sun Feb 18,,https://www.axs.com/events/502074/john-craigie-tickets?skin=stateroom
7,Placeholder Location Name,Placeholder Location Address,Michael Nau,Fri Feb 23,,https://www.axs.com/events/502140/michael-nau-tickets?skin=stateroom
8,Placeholder Location Name,Placeholder Location Address,The Discographers: Dark Side of Oz,Fri Mar 1,,https://www.axs.com/events/521531/the-discographers-dark-side-of-oz-tickets
9,Placeholder Location Name,Placeholder Location Address,Briscoe,Tue Mar 5,,https://www.axs.com/events/520694/briscoe-tickets
10,Placeholder Location Name,Placeholder Location Address,Boogarins x Levitation Room,Wed Mar 6,,https://www.axs.com/events/520706/boogarins-x-levitation-room-tickets
11,Placeholder Location Name,Placeholder Location Address,Margo Cilker,Fri Mar 8,,https://www.axs.com/events/501987/margo-cilker-tickets?skin=stateroom
12,Placeholder Location Name,Placeholder Location Address,Albert Cummings,Sat Mar 9,,https://www.axs.com/events/527655/albert-cummings-tickets?skin=stateroom
13,Placeholder Location Name,Placeholder Location Address,Mia x Ally,Mon Mar 11,,https://www.axs.com/events/523127/mia-x-ally-tickets?skin=stateroom
14,Placeholder Location Name,Placeholder Location Address,G. Love & Special Sauce,Tue Mar 12,,https://www.axs.com/events/508492/g-love-special-sauce-tickets
15,Placeholder Location Name,Placeholder Location Address,Steve 'n' Seagulls,Wed Mar 20,,https://www.axs.com/events/524494/steve-n-seagulls-tickets?skin=stateroom
16,Placeholder Location Name,Placeholder Location Address,Diggin Dirt,Thu Mar 21,,https://www.axs.com/events/520252/diggin-dirt-tickets
17,Placeholder Location Name,Placeholder Location Address,Madi Diaz,Fri Mar 22,,https://www.axs.com/events/512735/madi-diaz-tickets
18,Placeholder Location Name,Placeholder Location Address,San Fermin,Sat Mar 23,,https://www.axs.com/events/509377/san-fermin-tickets
19,Placeholder Location Name,Placeholder Location Address,Birdtalker,Wed Mar 27,,https://www.axs.com/events/519774/birdtalker-tickets
20,Placeholder Location Name,Placeholder Location Address,Jimmie Vaughan & The Tilt-A-Whirl Band,Tue Apr 2,,https://www.axs.com/events/519922/jimmy-vaughan-the-tilt-a-whirl-band-tickets
21,Placeholder Location Name,Placeholder Location Address,High Fade,Thu Apr 4,,https://www.axs.com/events/524490/high-fade-tickets
22,Placeholder Location Name,Placeholder Location Address,An Evening with Mike Doughty and Ghost of Vroom,Fri Apr 5,,https://www.axs.com/events/512742/an-evening-with-mike-doughty-and-ghost-of-vroom-tickets
23,Placeholder Location Name,Placeholder Location Address,Jon McLaughlin,Wed Apr 10,,https://www.axs.com/events/528576/jon-mclaughlin-tickets?skin=stateroom
24,Placeholder Location Name,Placeholder Location Address,Jesse Daniel,Sat Apr 20,,https://www.axs.com/events/524284/jesse-daniel-tickets
25,Placeholder Location Name,Placeholder Location Address,Bruce Cockburn,Sun May 12,,https://www.axs.com/events/501816/bruce-cockburn-tickets?skin=stateroom
26,Placeholder Location Name,Placeholder Location Address,Zepparella,Fri May 17,,https://www.axs.com/events/521076/zepparella-tickets
27,Placeholder Location Name,Placeholder Location Address,Cedric Burnside,Wed May 29,,https://www.axs.com/events/525845/cedric-burnside-tickets?skin=stateroom
28,Placeholder Location Name,Placeholder Location Address,Sinkane,Fri May 31,,https://www.axs.com/events/527074/sinkane-tickets?skin=stateroom
29,Placeholder Location Name,Placeholder Location Address,Hoodoo Gurus,Sun Sep 22,,https://www.axs.com/events/518020/hoodoo-gurus-tickets
30,Placeholder Location Name,Placeholder Location Address,The Ocean Blue (Night 1),Fri Oct 11,,https://www.axs.com/events/526405/the-ocean-blue-tickets?skin=stateroom
31,Placeholder Location Name,Placeholder Location Address,The Ocean Blue (Night 2),Sat Oct 12,,https://www.axs.com/events/526417/the-ocean-blue-tickets?skin=stateroom
32,Placeholder Location Name,Placeholder Location Address,The Infamous Stringdusters (Night 1!),Wed Jan 31,,https://www.axs.com/events/501935/the-infamous-stringdusters-tickets?skin=stateroom
