,Name,Venue Name,Venue Address,Date,Time,Price,Ticket Link
0,"S&S Presents - Silent Planet - Thornhill, Johnny Booth, Aviana",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Jan 31, 2024",Event: 6:00am,$22.00,https://www.24tix.com/event/acjpijh3azfrdmmvldgzlk2wyq
1,"S&S Presents - Christine Baird - Sean Marshall, Angie Petty",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 01, 2024",Event: 7:00am,$10.00,https://www.24tix.com/event/paeuc2xaqzfcjlcd5tjiydpeaa
2,"S&S Presents - Die Shiny - Cassette Drift, Sleepy Moon Ray",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 02, 2024",Event: 7:00am,$10.00,https://www.24tix.com/event/yt3dbqblmngk3fciraers3uxeq
3,"S&S Presents - DUBWISE - Lost City, Roommate, illoom, Gried, Empowa",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 03, 2024",Event: 8:30am,$12.57,https://www.24tix.com/event/e3mhyseverdktibf4gc4u64v54
4,S&S Presents - SUGAR: THE NU-METAL PARTY,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 04, 2024",Event: 8:30am,$14.00,https://www.24tix.com/event/ucye2h3oyzb5nj6eg32mulh4ce
5,S&S and Popscene SLC Presents - Poolside - Undercover Dream Lovers + DJ Aaron Axelsen,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 06, 2024",Event: 7:00am,$25.00,https://www.24tix.com/event/qvxeokfoezfkxn5ummc5srvdum
6,"S&S Presents - Twin Tribes - Urban Heat, Vandal Moon",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 07, 2024",Event: 7:00am,$22.00,https://www.24tix.com/event/khfhhwzdgreizfrrw4y2bon4py
7,90.9FM KRCL Presents - Mayer Hawthorne - Hawthorne Rides Again,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 08, 2024",Event: 7:00am,$30.00,https://www.24tix.com/event/adlpx34fhfdf5kgggkdw332s2i
8,"S&S Presents - 4PLAY - Batshit'72, Saccharine",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 09, 2024",Event: 7:00am,$10.00,https://www.24tix.com/event/sycbagypj5hmfiiobebatk3asa
9,S&S Presents - Galentine's: Olivia + Taylor Dance Party,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 10, 2024",Event: 8:00am,$18.00,https://www.24tix.com/event/zs2jjqf6pfcfxaunbkwormmhpa
10,S&S Presents - SLUG MAG's 35th Anniversary Party,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 11, 2024",Event: 8:00am,$10.00,https://www.24tix.com/event/zv6wncukqndwbdyti45ww5s5by
11,S&S Presents - Frost Children - Thoom,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 15, 2024",Event: 7:00am,$15.00,https://www.24tix.com/event/sat6hnfatran3oqiy5kyhfy6mm
12,S&S Presents - GRIEVES,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 16, 2024",Event: 7:00am,$20.00,https://www.24tix.com/event/noebwkmr2vcr3dl4w7sl4367ke
13,"S&S Presents - Hard Love - IDCore, Dev, chandwhore, supernova",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 17, 2024",Event: 8:00am,$10.00,https://www.24tix.com/event/g4aqhan2xfdadbueos6nfm2ubi
14,S&S Presents - Strawberry Cough,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 18, 2024",Event: 8:00am,$10.00,https://www.24tix.com/event/mpjcn2xbnnfwvg4avyyivg4lku
15,S&S Presents - Plain White T's - Fired Up Tour,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 19, 2024",Event: 7:00am,$30.00,https://www.24tix.com/event/fh3fnesz7zdn7jmr2cwhv2lkwi
16,"S&S Presents - HELEN! - Down River, 44go",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 22, 2024",Event: 7:00am,$10.00,https://www.24tix.com/event/pnuab6rklzfk5osh4l6trt53uq
17,"S&S Presents - The Lip - Seeking the Sun, Mopsy",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 23, 2024",Event: 7:00am,$0.00,https://www.24tix.com/event/46tzp7lmrngnvlo6bjzlr7cwha
18,"JRC Events Presents - Gideon - Left To Suffer, Fox Lake, No Cure, In Your Grave",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 24, 2024",Event: 6:30am,$20.00,https://www.24tix.com/event/tbiuvrxnezemxkvuuqldzlugbm
19,S&S Presents - Rev. Kristin Michael Hayter - Bly Wallentine,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 25, 2024",Event: 7:00am,$25.00,https://www.24tix.com/event/przdybnldnfs5aqkrjc3v4cpi4
20,"S&S Presents - Saved by Sex - Pink Mannequins, Deeper Sleeper",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Feb 29, 2024",Event: 7:00am,$10.00,https://www.24tix.com/event/lj6o7uwspbgirgcu2722gcxnrm
21,"S&S Presents - DUBWISE - Bukkha, Prophet, Raw Fidelity, Rhizae",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 02, 2024",Event: 8:30am,$12.57,https://www.24tix.com/event/hfdu74fmmbgwronw7zk2fpdeba
22,"S&S Presents - The Plastic Cherries - Daytime Lover, Lord Vox, Strange Familia",The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 03, 2024",Event: 8:00am,$10.00,https://www.24tix.com/event/hhoprpeuvvcmnlo4tlenxggdia
23,S&S Presents - Real Estate - Infinite Jangle Tour,The Urban Lounge,241 South 500 East Salt Lake City UT 84102,"Mar 06, 2024",Event: 7:00am,$22.00,https://www.24tix.com/event/hzdhgfdz3vgrrahzbmejjjyafe
